String	Ref. Ten. (lbs)	Swing Speed	Material	Gauge Nominal (mm)	Gauge Acutal (mm)	Stretch at 40 lbs (%)	Stretch at 51 lbs (%)	Stretch at 62 lbs (%)	Actual Pre-impact Tension (lbs)	Dwell Time (ms)	Deflection (mm)	Tension Change (lbs)	Peak Tension (lbs)	Peak Perp. Force (lbs)	Ave Perp. Force (lbs)	Stiffness (lb/in)	Static Loss lbs.	Stabilization Loss (lbs)	Impact Loss (lbs).	Total Loss (lbs)	Tension Loss (%)	Energy Return (%)	String/String COF	String/Ball COF	Spin Potential
Weiss Cannon Ultra Cable 17 (1.23)	51	Fast	Polyester	1.23		0.0	0.0	0.0	26.90	36.7	33.8	49.2	76.1	32.1	14.7	174.9	3.66	20.16	0.37	24.3	47.7	82.8	0.065	0.774	11.9
Volkl V-Square 16 (1.30)	51	Fast	Polyester	1.3	1.26	7.3	7.6	3.3	26.68	36.4	33.1	51.6	78.3	32.4	14.8	190.9	6.84	17.20	0.24	24.3	47.9	83.7	0.069	0.781	11.3
Weiss Cannon Blue Rock N Power	51	Fast	Polyester	1.2	1.24	2.4	10.0	8.2	37.26	33.0	30.2	50.3	87.5	33.1	16.4	224.0	3.97	9.49	0.22	13.7	27	88.7	0.059	0.654	11.1
Babolat RPM Blast Rough 17	51	Fast	Polyester	1.25	1.19	1.5	2.1	4.5	32.96	34.4	32.0	49.2	82.2	32.9	15.7	196.0	5.23	12.53	0.33	18.1	35.7	86.1	0.057	0.564	9.9
Tecnifibre Black Code 4S 17 (1.25)	51	Fast	Polyester	1.25	NA	2.1	3.3	3.9	36.82	34.0	31.9	52.5	89.3	35.7	17.0	209.2	4.85	9.05	0.48	14.3	28.3	88.9	0.067	0.658	9.8
Toroline O-Toro 17 (1.23)	51	Fast	Polyester	1.23		0.0	0.0	0.0	28.33	37.1	33.9	47.0	75.2	31.9	14.7	165.7	4.96	17.43	0.15	22.5	44.4	84.3	0.064	0.601	9.4
Diadem Elite XT 17	51	Fast	Polyester	1.2	1.26	2.4	7.6	2.7	34.79	34.8	32.1	47.8	82.7	33.1	15.6	189.2	3.90	12.03	0.17	16.1	31.7	89.3	0.075	0.695	9.3
Tecnifibre Black Code 4S 16 (1.30)	51	Fast	Polyester	1.3	1.33	2.7	3.9	6.1	38.04	32.9	30.2	54.7	92.6	35.0	16.7	242.9	3.75	8.93	0.27	13.0	25.5	89.5	0.073	0.674	9.2
Volkl Cyclone 18L (1.15)	51	Fast	Polyester	1.15	1.21	2.1	3.3	8.5	35.99	34.6	32.0	47.4	83.3	33.3	15.9	188.0	3.15	11.58	0.20	15.0	29.4	88.2	0.071	0.641	9
Volkl Cyclone Tour 16 (1.30)	51	Fast	Polyester	1.3	1.39	5.8	7.3	7.9	24.70	37.6	34.2	48.1	72.8	31.1	14.4	167.4	6.39	19.63	0.40	26.5	52.1	83.2	0.068	0.592	8.7
Diadem Elite XT 16	51	Fast	Polyester	1.3	1.32	5.2	6.7	3.3	30.38	35.1	32.1	52.0	82.5	33.1	15.4	204.6	6.68	13.66	0.15	20.5	40.4	85.9	0.075	0.654	8.7
Diadem Solstice Power 17 (1.20)	51	Fast	Polyester	1.2	NA	1.5	2.7	3.3	36.76	34.2	32.0	49.6	86.4	34.5	16.0	196.6	4.26	9.70	0.51	14.6	28.5	87.4	0.073	0.626	8.6
MSV Focus-Hex 16 (1.27)	51	Fast	Polyester	1.27		0.0	0.0	0.0	29.06	35.9	33.0	49.6	78.7	32.5	15.8	185.7	6.70	14.96	0.28	21.8	43.3	84.6	0.071	0.61	8.6
Weiss Cannon Red Ghost 17L (1.18)	51	Fast	Polyester	1.18	1.31	1.5	7.3	3.3	33.76	35.0	32.1	48.3	82.0	33.0	15.6	189.7	3.59	13.37	0.27	17.2	34	87.2	0.073	0.622	8.5
Volkl V-Torque Tour 16 (1.30)	51	Fast	Polyester	1.3	1.34	1.8	8.8	9.4	31.53	35.1	32.1	46.7	78.3	31.4	15.3	184.0	5.58	13.61	0.24	19.4	38.3	88.2	0.074	0.626	8.5
Pacific Poly Power Pro 16 (1.30)	51	Fast	Polyester	1.3	1.24	1.8	3.6	5.8	29.00	35.7	32.9	51.8	80.9	33.2	15.6	194.9	6.13	15.59	0.45	22.3	43.7	85.0	0.059	0.489	8.3
Luxilon ECO Power 17 (1.25)	51	Fast	Polyester	1.25	1.27	8.5	10.3	10.0	33.52	34.8	32.2	49.8	83.3	33.5	15.8	194.9	4.17	13.03	0.31	17.4	34.5	86.3	0.062	0.512	8.3
Volkl Cyclone 19 (1.10)	51	Fast	Polyester	1.1	NA	2.4	3.3	4.5	34.46	35.0	32.0	46.3	80.7	32.3	15.7	182.9	4.61	11.65	0.57	16.8	33.2	88.5	0.071	0.582	8.2
Babolat RPM Blast Rough 16	51	Fast	Polyester	1.3		0.0	0.0	0.0	36.05	33.6	31.0	49.6	85.8	33.2	16.4	209.7	3.84	10.83	0.28	15.0	29.5	90.1	0.07	0.577	8.2
Toroline O-Toro Spin 17 (1.23)	51	Fast	Polyester	1.23	1.32	3.9	3.3	7.6	31.53	35.9	33.0	46.3	77.8	32.1	14.8	173.2	3.77	15.42	0.26	19.4	38.3	85.4	0.084	0.687	8.2
Grapplesnake Tour M8 17 (1.25)	51	Fast	Polyester	1.25	1.26	2.4	2.4	3.9	33.63	34.1	31.9	52.7	86.2	34.4	15.7	210.3	5.62	11.47	0.33	17.4	34.3	87.0	0.066	0.544	8.2
Diadem Solstice Power 16 (1.30)	51	Fast	Polyester	1.3	NA	1.8	3.0	3.6	36.27	34.4	32.0	51.2	87.3	34.9	16.9	202.9	4.76	9.69	0.57	15.0	29.6	88.0	0.08	0.645	8.1
Solinco Revolution 16L (1.25)	51	Fast	Polyester	1.25		0.0	0.0	0.0	36.49	33.7	31.5	52.0	88.6	34.9	16.4	212.6	4.12	10.11	0.20	14.3	28.4	88.5	0.068	0.542	8
Prince Vortex 16 (1.30)	51	Fast	Polyester	1.3	1.41	1.2	4.2	9.4	21.30	37.4	34.0	53.4	74.7	31.7	13.8	188.0	7.59	21.83	0.24	29.5	58.5	80.6	0.069	0.549	8
Volkl Cyclone Tour 18 (1.20)	51	Fast	Polyester	1.2	1.31	2.7	4.8	3.9	25.25	37.8	34.5	46.5	71.9	31.0	14.3	159.4	6.33	19.14	0.55	26.0	51.3	84.6	0.073	0.572	7.8
Double AR Diablo (1.31)	51	Fast	Polyester	1.31	NA	2.4	4.8	7.0	23.28	38.0	34.1	48.5	71.9	30.7	13.8	169.7	7.81	19.63	0.79	28.2	55.7	81.0	0.08	0.615	7.7
Wilson Revolve 17 (1.25)	51	Fast	Polyester	1.25	NA	1.8	3.6	4.5	32.90	35.0	32.1	48.5	81.4	32.6	15.6	192.0	5.95	11.87	0.55	18.3	36.2	87.2	0.066	0.507	7.7
MSV Focus-Hex +38 16L (1.25)	51	Fast	Polyester	1.25		0.0	0.0	0.0	23.81	37.5	34.0	49.2	73.0	31.0	14.2	173.2	7.41	19.50	0.22	27.1	53.5	81.5	0.08	0.613	7.7
Toroline O-Toro Tour 17 (1.23)	51	Fast	Polyester	1.23	1.27	2.7	2.4	5.2	38.26	33.3	31.0	50.9	89.3	34.6	16.2	216.6	3.06	9.40	0.20	12.6	25	86.5	0.079	0.608	7.7
Yonex Poly Tour Drive 16L (1.25)	51	Fast	Polyester	1.25	1.30	1.5	3.0	3.3	27.01	36.0	33.0	52.5	79.4	32.7	14.9	195.5	6.88	16.83	0.18	23.8	47.1	84.1	0.066	0.5	7.6
Kirschbaum Spiky Shark 16	51	Fast	Polyester	1.3	1.31	1.8	3.3	3.9	27.32	35.5	32.0	54.5	81.8	32.7		216.0	8.36	15.04	0.64	24.0	47.4	85.6	0.072	0.541	7.5
Solinco Hyper-G 18 (1.15)	51	Fast	Polyester	1.15	NA	7.3	2.7	4.5	36.65	35.1	32.6	47.2	83.8	34.2	17.2	180.0	2.95	11.12	0.27	14.3	28.3	88.4	0.082	0.617	7.5
MSV Focus-Hex 16 (1.23)	51	Fast	Polyester	1.23	1.28	7.0	2.4	12.1	36.16	33.6	31.1	52.0	88.2	34.2	16.8	218.9	4.15	10.41	0.20	14.8	29.1	89.1	0.082	0.619	7.5
Head Hawk Power 17 (1.25)	51	Fast	Polyester	1.25	1.31	6.4	9.1	2.7	26.35	35.8	33.0	54.5	80.9	33.3	15.0	203.5	7.06	17.31	0.11	24.5	48.3	81.7	0.073	0.545	7.5
Kirschbaum Spiky Shark 17	51	Fast	Polyester	1.25	1.30	2.4	4.5	6.1	24.30	36.4	32.9	52.7	77.2	31.7		197.7	10.65	15.77	0.71	27.1	53.5	83.5	0.072	0.533	7.4
Double AR Diablo (1.24)	51	Fast	Polyester	1.24	NA	2.4	4.2	6.7	23.31	38.3	34.2	48.1	71.4	30.6	14.2	166.9	8.45	18.96	0.71	28.2	55.4	79.4	0.084	0.619	7.4
Tecnifibre Razor Soft 17 (1.25)	51	Fast	Polyester	1.25		0.0	0.0	0.0	34.18	34.0	31.7	52.5	86.7	34.4	16.1	212.0	5.14	11.40	0.36	17.0	33.3	88.4	0.07	0.517	7.4
Double AR WTS 25 (1.25)	51	Fast	Polyester	1.25	NA	2.7	4.5	7.0	22.89	38.1	34.2	48.3	71.0	30.4	14.0	168.0	8.67	19.16	0.84	28.7	56.5	80.3	0.077	0.564	7.3
Diadem Solstice Pro 16L (1.25)	51	Fast	Polyester	0	NA	2.4	3.6	4.5	35.32	35.3	32.9	47.6	82.9	34.2	16.8	178.9	4.37	11.03	0.55	15.9	31.4	89.1	0.081	0.589	7.3
Diadem Solstice Power 16L (1.25)	51	Fast	Polyester	1.25		0.0	0.0	0.0	37.26	33.6	31.4	50.9	88.2	34.7	16.2	209.2	3.57	9.89	0.28	13.7	27.1	88.5	0.076	0.555	7.3
MSV Focus Hex Soft 17L (1.20)	51	Fast	Polyester	1.2	1.34	1.8	7.3	8.8	37.90	33.9	31.8	48.5	86.4	34.4	16.6	194.3	3.29	9.53	0.28	13.0	25.8	89.7	0.081	0.594	7.3
Signum Pro Plasma HEXtreme 16 (1.30)	51	Fast	Polyester	1.3	1.37	7.9	2.7	NA	38.48	33.2	30.8	52.9	91.3	35.2	16.5	225.7	3.64	8.60	0.33	12.6	24.8	88.9	0.081	0.594	7.3
Solinco Tour Bite Soft 18 (1.15)	51	Fast	Polyester	1.15	1.32	7.6	7.6	11.5	35.17	35.5	33.0	46.1	81.4	33.5	15.9	172.0	3.18	12.37	0.33	15.9	31.3	88.4	0.092	0.674	7.3
Babolat RPM Blast Rough 15L	51	Fast	Polyester	1.35	1.30	1.5	2.4	9.4	32.24	34.4	31.9	50.1	82.5	32.9	16.0	199.5	5.38	13.10	0.31	18.7	37	86.3	0.072	0.523	7.3
Babolat RPM Blast 15L (1.35)	51	Fast	Polyester	1.35	1.44	3.0	5.5	3.3	34.07	33.5	31.1	56.0	90.2	35.0	16.3	236.6	4.48	12.17	0.02	16.8	32.9	86.1	0.072	0.529	7.3
Solinco Hyper-G 16 Round (1.30)	51	Fast	Polyester	1.3	1.35	8.8	9.1	10.6	34.62	33.8	30.9	53.4	88.0	34.0	16.4	226.3	4.37	11.73	0.27	16.3	32.3	88.0	0.066	0.484	7.3
Double AR Twice Dragon(1.30)	51	Fast	Polyester	1.3	NA	2.1	4.5	6.4	25.38	37.3	34.0	48.7	74.1	31.5	14.4	170.9	7.36	17.98	0.62	26.0	51.2	83.2	0.071	0.51	7.2
MSV Co-Focus 17L (1.18)	51	Fast	Polyester	1.18		0.0	0.0	0.0	35.24	34.8	32.3	47.6	82.9	33.4	16.4	185.7	3.46	12.02	0.25	15.7	31	88.5	0.068	0.493	7.2
Solinco Tour Bite 19 (1.10)	51	Fast	Polyester	1.1	1.3	8.8	9.1	3.6	34.73	35.7	33.0	46.1	80.7	33.3	16.1	171.5	3.31	12.68	0.33	16.3	32.2	89.9	0.09	0.649	7.2
Wilson Revolve 16 (1.30)	51	Fast	Polyester	1.3	1.30	7.0	8.8	3.6	28.11	36.1	33.2	49.8	78.1	32.4	14.9	184.0	6.48	16.13	0.33	22.9	45.2	85.2	0.06	0.43	7.2
Yonex Polytour Rev 16L (1.25)	51	Fast	Polyester	1.25	NA	2.4	8.5	2.7	33.34	34.8	32.0	48.7	82.0	32.8	15.6	193.2	5.12	12.26	0.07	17.4	34.4	87.6	0.074	0.533	7.2
Volkl Cyclone 18	51	Fast	Polyester	1.2	1.21	3.3	4.2	5.8	26.75	36.4	32.8	48.1	74.7	30.7		181.2	8.31	15.66	0.44	24.5	48.1	84.6	0.082	0.58	7.1
Diadem Solstice Power 15L (1.35)	51	Fast	Polyester	1.35		0.0	0.0	0.0	35.92	33.3	31.0	54.0	90.0	34.9	16.1	228.6	4.70	10.10	0.22	15.0	29.6	88.9	0.072	0.508	7.1
Diadem Solstice Pro 15L (1.35)	51	Fast	Polyester	1.35	1.32	6.1	3.2	9.1	36.71	34.4	32.0	48.5	85.3	34.1	16.2	192.6	3.97	10.04	0.22	14.3	28	88.9	0.077	0.544	7.1
Gamma Ocho 17 (1.25)	51	Fast	Polyester	1.25	1.32	6.7	7.6	9.4	40.35	32.6	30.0	51.4	91.7	34.4	16.8	231.5	2.60	7.77	0.31	10.6	21	89.1	0.079	0.561	7.1
Kirschbaum Xplosive Speed 1.25	51	Fast	Polyester	1.25	1.29	1.5	3.0	3.3	29.86	35.6	33.0	49.8	79.6	32.9	15.2	185.7	7.34	13.52	0.14	20.9	41.4	86.5	0.082	0.585	7.1
Head Lynx Tour 17 (1.25)	51	Fast	Polyester	1.25	1.33	1.8	4.2	6.1	38.46	33.3	30.9	51.2	89.5	34.6	16.5	217.7	3.35	8.91	0.20	12.3	24.6	89.7	0.079	0.564	7.1
IsoSpeed Pyramid 16	51	Fast	Polyester	1.3	1.30	2.7	3.9	6.1	22.09	38.2	34.0	49.8	71.9	30.6		174.9	10.32	18.31	0.79	29.3	58	83.5	0.081	0.571	7
Head Lynx 16 (1.30)	51	Fast	Polyester	1.3	NA	2.4	4.2	5.8	28.33	36.0	33.0	49.8	78.3	32.2	14.8	185.7	7.17	15.22	0.72	23.2	45.6	85.0	0.075	0.525	7
Solinco Hyper-G 16	51	Fast	Polyester	16	NA	1.5	2.7	3.3	37.88	33.3	30.9	51.8	89.5	34.6	16.5	219.5	3.95	8.89	0.51	13.2	26.3	89.3	0.09	0.631	7
Gamma Moto Soft 17 (1.24)	51	Fast	Polyester	1.24		0.0	0.0	0.0	33.34	35.2	32.7	48.5	81.8	33.5	16.0	184.0	4.43	12.95	0.26	17.6	34.8	87.0	0.085	0.599	7
Luxilon Element Rough 16 (1.30)	51	Fast	Polyester	1.3	1.38	NA	NA	7.6	33.30	34.2	31.9	49.8	83.1	33.2	16.4	198.3	4.45	12.97	0.29	17.6	34.9	87.6	0.07	0.487	7
Babolat RPM Blast Orange 16 (1.30)	51	Fast	Polyester	1.3	1.34	1.5	2.4	10.0	31.29	34.8	32.0	53.1	84.5	33.8	15.5	210.3	5.51	13.92	0.29	19.6	38.9	84.3	0.071	0.496	7
Luxilon Element Soft IR 1.27	51	Fast	Polyester	1.27	1.25	7.6	3.0	3.9	28.44	35.9	32.9	52.7	81.1	33.5	15.5	197.7	5.53	16.75	-0.11	22.3	43.7	82.8	0.072	0.503	7
Solinco Tour Bite 16 Soft	51	Fast	Polyester	1.3	NA	2.4	4.5	5.8	25.82	36.2	33.0	49.2	75.0	31.0	14.8	184.0	7.06	17.84	0.62	25.6	50.3	83.7	0.08	0.549	6.9
Volkl V-Star 16 (1.30)	51	Fast	Polyester	1.3	NA	2.4	4.2	6.1	23.75	37.6	34.1	49.2	73.0	31.1	14.0	172.6	8.49	18.48	0.66	27.6	54.5	82.8	0.073	0.501	6.9
Luxilon Alu Power Soft 1.25	51	Fast	Polyester	1.25	NA	2.1	3.6	4.5	32.63	34.9	32.0	50.1	82.7	33.1	15.5	197.7	5.53	12.56	0.48	18.5	36.6	88.2	0.074	0.514	6.9
Gamma Ocho 16 (1.30)	51	Fast	Polyester	1.3		0.0	0.0	0.0	38.92	32.5	30.0	53.8	92.6	34.8	16.7	242.9	3.55	8.25	0.05	11.9	23.3	90.4	0.079	0.549	6.9
Kirschbaum Max Power Rough 18 (1.20)	51	Fast	Polyester	1.2	NA	8.2	9.4	3.0	36.82	33.9	32.0	49.2	86.0	34.3	15.6	195.5	3.59	10.31	0.22	14.1	27.8	89.9	0.074	0.501	6.8
Tourna Big HItter Silver 16	51	Fast	Polyester	1.25	1.33	1.8	3.0	5.2	37.60	33.7	31.0	49.6	87.1	33.8	16.3	209.2	3.13	9.99	0.23	13.2	26.3	88.0	0.075	0.507	6.8
Luxilon LXN Smart 16L (1.25)	51	Fast	Polyester	1.25	1.33	2.1	4.5	3.3	29.44	35.2	32.4	52.0	81.4	33.0	15.5	201.2	7.32	13.96	0.40	21.6	42.7	86.5	0.079	0.54	6.8
Solinco Tour Bite 16	51	Fast	Polyester	1.3	1.34	1.8	3.3	4.2	27.39	35.8	32.0	51.2	78.5	31.4		202.9	9.46	13.87	0.56	23.8	47.1	85.0	0.085	0.573	6.7
L-Tec Premium 4S 16L (1.25)	51	Fast	Polyester	1.25	NA	1.8	3.0	4.2	33.23	33.5	30.1	52.0	85.3	32.0		233.7	5.78	11.71	0.42	17.9	35.3	87.2	0.071	0.479	6.7
Luxilon 4G Soft 1.25	51	Fast	Polyester	1.25	NA	1.5	2.4	3.0	38.17	33.5	31.0	51.4	89.5	34.7	16.4	217.2	3.62	8.93	0.35	13.0	25.4	90.1	0.078	0.522	6.7
Prince Tour XP 17 (1.25)	51	Fast	Polyester	1.25		0.0	0.0	0.0	32.74	35.4	32.4	48.7	81.6	33.0	15.6	189.2	3.97	14.01	0.33	18.3	36.1	86.9	0.073	0.486	6.7
Prince Tour XR 15L (1.35)	51	Fast	Polyester	1.35	1.36	8.5	10.0	9.4	26.46	35.7	32.3	54.7	81.1	32.7	15.1	213.2	6.62	17.64	0.37	24.7	48.6	81.9	0.073	0.488	6.7
Gamma Jet 16L (1.28)	51	Fast	Polyester	1.28	1.27	7.0	2.4	4.5	31.80	35.0	32.0	49.8	81.6	32.7	15.6	197.7	5.25	13.67	0.16	19.0	37.6	87.6	0.076	0.507	6.7
Grapplesnake Alpha 17 (1.25)	51	Fast	Polyester	1.25	1.32	1.5	NA	6.7	36.21	33.7	31.1	52.0	88.4	34.4	16.1	218.3	4.41	10.10	0.40	15.0	29.4	89.3	0.079	0.532	6.7
Solinco Revolution 17	51	Fast	Polyester	1.2	1.25	2.1	3.6	5.5	25.91	36.7	33.0	50.3	76.3	31.4		188.6	9.48	15.33	0.55	25.4	50	83.4	0.072	0.476	6.6
Luxilon Element 1.30	51	Fast	Polyester	1.3	NA	1.5	3.0	4.5	28.78	35.9	33.1	51.6	80.5	33.3	15.3	191.5	6.75	15.19	0.56	22.5	44.3	86.5	0.068	0.446	6.6
Gosen Lumina Spin 16L (1.26)	51	Fast	Polyester	1.26		0.0	0.0	0.0	25.71	36.6	33.9	50.5	76.1	32.3	14.6	178.3	8.16	16.85	0.35	25.4	50	85.9	0.074	0.491	6.6
Pacific XCite 16 (1.30)	51	Fast	Polyester	1.3	1.30	1.4	2.4	5.5	37.46	33.4	31.0	52.0	89.5	34.7	16.9	220.0	3.53	9.73	0.31	13.5	26.7	87.6	0.076	0.499	6.6
Solinco Outlast 18 (1.15)	51	Fast	Polyester	1.15	1.22	2.1	10.6	11.8	37.37	34.6	32.2	47.6	84.9	34.2	17.1	186.3	3.09	10.26	0.30	13.7	26.9	90.6	0.077	0.509	6.6
MSV Focus Hex 17L (1.18)	51	Fast	Polyester	1.18	NA	1.8	3.0	3.6	37.22	33.3	30.1	49.8	87.1	32.7	16.4	224.0	3.70	9.80	0.44	13.9	27.5	88.2	0.072	0.466	6.5
Solinco Outlast 16L (1.25)	51	Fast	Polyester	1.25		0.0	0.0	0.0	36.34	33.9	31.8	51.6	88.0	35.0	16.6	208.0	4.04	10.34	0.22	14.6	28.8	88.7	0.073	0.474	6.5
Volkl V-Star 18L (1.15)	51	Fast	Polyester	1.15	1.27	7.0	8.2	9.7	34.07	35.4	32.6	45.6	79.8	32.5	15.5	174.3	3.55	13.10	0.16	16.8	33.1	88.5	0.079	0.511	6.5
Volkl V-Star 19 (1.10)	51	Fast	Polyester	1.1	1.27	4.8	6.4	8.5	32.96	35.9	33.0	44.8	77.6	32.1	15.4	166.9	3.09	14.67	0.33	18.1	35.7	88.9	0.08	0.523	6.5
Tecnifibre Pro Red Code Wax 17	51	Fast	Polyester	1.25	NA	4.5	3.6	9.1	36.16	33.1	31.0	55.8	91.9	35.6	16.7	235.5	4.45	10.11	0.04	14.6	28.8	87.8	0.077	0.503	6.5
Luxilon ALU Power Rough 16L (1.25)	51	Fast	Polyester	1.25	1.32	7.6	10.3	8.5	30.87	34.9	32.2	53.1	84.0	33.8	15.6	209.2	5.60	14.25	0.22	20.1	39.6	87.4	0.077	0.498	6.5
Solinco Revolution 16	51	Fast	Polyester	1.3	1.33	1.8	2.4	NA	27.30	35.4	32.0	54.5	81.8	32.7		215.5	8.33	15.09	0.62	24.0	47.4	84.3	0.07	0.451	6.4
